run_no,time(s),Temperature(K),Pressure(atm),y_C2H6,y_C2H4,y_CH4,y_H2,y_CO2,y_CO,y_H2O
0,0.0,835.0,1.0,0.005349977021391253,0.0,0.0,0.0053082395427753075,0.005024961709688583,0.0,0.0
0,1.0,835.0,1.0,0.003843095176753459,0.0,0.0018466389136945814,0.0029584702411305365,0.003901228784951285,0.0011534965167383719,0.0009919148662366102
0,2.0,835.0,1.0,0.003303286711528024,0.00019617902274109334,0.002699652920385056,0.002496194938931881,0.003124646707131169,0.0015055876372959327,0.001564178402340634
0,3.0,835.0,1.0,0.0029922793446385495,0.00025899322983882766,0.0036749248952556686,0.002046497868636967,0.003827898787085747,0.0017077818445539953,0.001635866621432358
0,4.0,835.0,1.0,0.0027778274951566766,8.468519572356854e-05,0.004155622308797331,0.0017788049477200402,0.0033368780710358653,0.00133650996654899,0.0015304538236011293
0,5.0,835.0,1.0,0.00250381380626382,0.00048371720010286217,0.004392124734908311,0.001975641922778877,0.003709402699215533,0.0013272254703325232,0.001344436956310599
0,6.0,835.0,1.0,0.0021950200793199913,0.00024627461869841666,0.004981678776316502,0.0015294521311979413,0.0036027922092833997,0.0012046740532562676,0.001541113046754134
0,7.0,835.0,1.0,0.00243505433728187,0.00019487443564849568,0.005168568301271618,0.0009448399586232838,0.003985010919813669,0.001256496773347205,0.0012984013061255644
0,8.0,835.0,1.0,0.0020703950240569084,0.00016391818246230496,0.005492501657275385,0.001255027137235139,0.0036725763643037593,0.0013693973726536539,0.0013274576800280532
0,9.0,835.0,1.0,0.001997644145974327,8.459666286691645e-05,0.00577578546832811,0.0013014857281303408,0.0035362164217885763,0.0013477290605667732,0.0016925634333329964
0,10.0,835.0,1.0,0.0015224512602729997,0.00016873072918885867,0.005759293874218197,0.0013117140757736626,0.0036295086783280956,0.0012037346696563175,0.0010642580428556773
1,0.0,848.0,1.0,0.005096628263788856,9.660993721843094e-05,0.0,0.004752068552014244,0.004845021973335745,0.0,0.0
1,1.0,848.0,1.0,0.004019405154326653,0.00035671076706878175,0.002258288795788847,0.0026623920738528995,0.0036444565310476927,0.001200502994825723,0.001106550929735181
1,2.0,848.0,1.0,0.0032520625319181155,0.0002308036375034183,0.0032023766345030146,0.0021969691913874745,0.0034022026498113085,0.0016911315910816535,0.001796317985922383
1,3.0,848.0,1.0,0.0029386976273710437,0.00037521709998152437,0.003914750850420931,0.002069943584521932,0.003765522476240026,0.0014486428376807952,0.001850157156330371
1,4.0,848.0,1.0,0.0026401782578520804,0.00015062431214723276,0.004380381629490495,0.001769357347622906,0.0036562935595223765,0.0011304575474162084,0.001327023842549599
1,5.0,848.0,1.0,0.0024182527322717164,0.00029969850327279485,0.004770461913990228,0.0016724490391629978,0.0034745979556013496,0.0015420445796418835,0.0013991449439779069
1,6.0,848.0,1.0,0.0018933616929141606,0.00019426037526516213,0.0051924911033118465,0.0012434973012992795,0.003420610501522715,0.0013186634167099923,0.0014636272991775706
1,7.0,848.0,1.0,0.0017182570959211193,0.0006423786675081435,0.005718448050697464,0.0013784389669514493,0.0036376733233344583,0.001650047239735596,0.0013817623272571308
1,8.0,848.0,1.0,0.0016880954166432175,0.00025177271181167345,0.005680989977246984,0.0013246777984370663,0.0037514715486404063,0.0012187620105620033,0.0012798503109170884
1,9.0,848.0,1.0,0.001503068733151007,0.0002210297331504415,0.006227803886289166,0.0012375325756071127,0.0034528507907807824,0.0009808868887584052,0.0008561031165540069
1,10.0,848.0,1.0,0.0016679167357082914,0.00018217201826353655,0.0058801310952075105,0.0005698995573781228,0.003569713515674168,0.0012727885244985739,0.0014844058976184143
2,0.0,861.0,1.0,0.004809643860321957,4.185649880516429e-05,0.00014716136226337244,0.004745724994033602,0.0050980291538399725,0.00018357321401040472,0.0
2,1.0,861.0,1.0,0.003226867379306414,0.00044211620568575835,0.0023449530058673894,0.002449480638717481,0.003860054718495607,0.0013239630992501758,0.0013845195552953794
2,2.0,861.0,1.0,0.0028346054470242458,0.00013212247577971996,0.004173364859337698,0.001884214325263066,0.003261196568071361,0.001310675311449174,0.0014015598313815852
2,3.0,861.0,1.0,0.002576809636553282,0.00043043280134336906,0.004592985852154818,0.001989319186419214,0.0030790827024705382,0.0016156019372109117,0.0015191098874699363
2,4.0,861.0,1.0,0.0020027216709481736,0.00036827591296004306,0.004995389339685761,0.001736435573216569,0.0036819683678414824,0.0014620082228966613,0.0013772550881338474
2,5.0,861.0,1.0,0.0020491141679631715,0.00039211713340433,0.004975252395873647,0.0013526774019516383,0.0038859314672853545,0.0015280005028479322,0.001174528542720126
2,6.0,861.0,1.0,0.001713705148565683,0.0002907480644667344,0.0060575937915792275,0.001078019866024401,0.0033872774042528536,0.0014127615625516335,0.0015314653019440224
2,7.0,861.0,1.0,0.0014280991441213173,0.0002663551485387486,0.006086358136541613,0.0011147598405396781,0.0037311321578436204,0.0012924419893430947,0.0015309768476746257
2,8.0,861.0,1.0,0.0016200066071287331,0.00041051864605125705,0.006408362465076629,0.0009105798548728277,0.00392138970374208,0.0010154396289715054,0.0011782014057672733
2,9.0,861.0,1.0,0.0009879930739583802,0.0003675992968891613,0.006565273256160683,0.0014329515206031843,0.0037053474594779434,0.0011840639658334787,0.0009941567204183295
2,10.0,861.0,1.0,0.0010972940714594473,0.0005797914701871428,0.006838732674458638,0.000522509590548229,0.003777211290171397,0.0008593065926806985,0.001207661554450272
3,0.0,873.0,1.0,0.005117785875280721,0.0,4.3092348300091466e-05,0.004587712154512282,0.005136223048788719,0.0,0.00015490150847112893
3,1.0,873.0,1.0,0.003454002984400708,7.870851991234617e-05,0.0029123526425506086,0.0024737665744649496,0.0036000561652473344,0.0014754842801717237,0.0013973483102234197
3,2.0,873.0,1.0,0.0023172466007101286,0.0003446196555699355,0.0037006729585407475,0.0015137126452111273,0.003497473397811056,0.0017636354854651767,0.0012570249520998343
3,3.0,873.0,1.0,0.002219106800674415,0.00038081981093358516,0.004763945829161508,0.0015913519094608807,0.0035806872582950042,0.0015460968761565825,0.0013187992167763036
3,4.0,873.0,1.0,0.0016194568558975538,0.0005925746358827664,0.0053504206408381775,0.0013721817291120638,0.003529880667355048,0.0011491567977182004,0.0015453653627503353
3,5.0,873.0,1.0,0.0013383693748852603,0.0003558793889131553,0.005627622479299932,0.0012037108935812075,0.003803992806465751,0.001139638250133949,0.0011363993155153929
3,6.0,873.0,1.0,0.0016423520990290902,0.0005093699817382006,0.0059855425964591095,0.000949845907020235,0.00372024611719659,0.001317910705879156,0.001094482474726934
3,7.0,873.0,1.0,0.0013781676784722717,0.0006767355506781872,0.006333364169526661,0.001236577904259466,0.00350305857578811,0.0011239823198041644,0.0013363267790931586
3,8.0,873.0,1.0,0.000911120215223993,0.0006526247155088245,0.0068320941092252915,0.0011885032059557427,0.004138827048536756,0.0012265313422441819,0.0008898866948867038
3,9.0,873.0,1.0,0.0007962356403884013,0.0004814136181723454,0.006790834359190378,0.0007454924792980455,0.004057593630086411,0.001193631407727442,0.001107492738443275
3,10.0,873.0,1.0,0.001081683587329812,0.0004970756596929101,0.00746980008253404,0.0010449346356440287,0.0037851748778880323,0.0011411020599955803,0.001028046716598674
