,ST,S1
N2(T),1.0985366026697863e-21,-4.043781229293865e-11
N(T),1.0641388961196156e-20,1.4139416079770435e-11
H(T),2.2517808437368882e-20,1.4561369948337198e-10
NH3(T),2.3716250228046693e-20,-1.1076548068062428e-10
NH2(T),1.9340897688913025e-20,1.4443723023801498e-10
NH(T),1.154109313062193e-20,-1.0129902062969087e-11
N2(S),2.358532981805905e-13,-1.3953764892099593e-09
N(S),1.551018346049847,2.1087285539651295
H(S),0.048814787568259486,-0.17991047936345325
NH3(S),2.5317069703324854e-08,0.00020815016218649968
NH2(S),0.02992557926601874,-0.3317614349791401
NH(S),0.00014996927412368424,0.023204063993492556
TS4_N2(T),9.432849218962928e-22,-3.747156503856738e-11
TS4_N2(S),0.5278248555317633,1.1171465234757119
